,resid
2010-02-01,0.663350
2010-03-01,-0.045757
2010-04-01,0.050590
2010-05-01,-0.048726
2010-06-01,-0.021595
2010-07-01,-0.029512
2010-08-01,0.007937
2010-09-01,0.007145
2010-10-01,-0.011692
2010-11-01,0.007050
2010-12-01,-0.001947
2011-01-01,-0.015280
2011-02-01,0.016555
2011-03-01,-0.008981
2011-04-01,0.026208
2011-05-01,-0.028166
2011-06-01,-0.010250
2011-07-01,0.005165
2011-08-01,-0.023504
2011-09-01,-0.012096
2011-10-01,-0.008239
2011-11-01,0.017765
2011-12-01,-0.009776
2012-01-01,-0.008849
2012-02-01,0.043363
2012-03-01,0.036341
2012-04-01,-0.016466
2012-05-01,-0.022953
2012-06-01,0.000501
2012-07-01,0.017977
2012-08-01,-0.010626
2012-09-01,0.003079
2012-10-01,0.015922
2012-11-01,0.028901
2012-12-01,0.030983
2013-01-01,0.059010
2013-02-01,0.035479
2013-03-01,0.007941
2013-04-01,0.014804
2013-05-01,0.024764
2013-06-01,-0.076514
2013-07-01,0.025066
2013-08-01,-0.031984
2013-09-01,0.023249
2013-10-01,-0.004003
2013-11-01,0.011853
2013-12-01,0.018831
2014-01-01,-0.017030
2014-02-01,-0.014595
2014-03-01,0.008016
2014-04-01,0.005174
2014-05-01,0.006721
2014-06-01,0.003918
2014-07-01,0.003068
2014-08-01,0.003983
2014-09-01,0.029406
2014-10-01,-0.011956
2014-11-01,0.070054
2014-12-01,0.021984
2015-01-01,-0.013350
2015-02-01,0.011514
2015-03-01,0.006067
2015-04-01,-0.005619
2015-05-01,0.004208
2015-06-01,0.015768
2015-07-01,-0.012237
2015-08-01,-0.019430
2015-09-01,-0.032074
2015-10-01,0.015084
2015-11-01,0.002654
2015-12-01,-0.010195
2016-01-01,-0.033422
2016-02-01,-0.024252
2016-03-01,0.009538
2016-04-01,-0.021565
2016-05-01,-0.016441
2016-06-01,-0.016231
2016-07-01,-0.025647
2016-08-01,-0.012728
2016-09-01,-0.007325
2016-10-01,0.001433
2016-11-01,0.019671
2016-12-01,0.057984
2017-01-01,-0.017313
2017-02-01,-0.022063
2017-03-01,-0.001911
2017-04-01,-0.017234
2017-05-01,0.022791
2017-06-01,-0.015338
2017-07-01,0.001117
2017-08-01,-0.028846
2017-09-01,0.012335
2017-10-01,0.010788
2017-11-01,0.005714
2017-12-01,0.010797
2018-01-01,-0.022237
2018-02-01,-0.050675
2018-03-01,-0.011968
2018-04-01,0.017300
2018-05-01,0.016444
2018-06-01,-0.017329
2018-07-01,0.009080
2018-08-01,-0.001970
2018-09-01,-0.005301
2018-10-01,0.008931
2018-11-01,0.024238
2018-12-01,-0.013586
2019-01-01,-0.021385
2019-02-01,0.021387
2019-03-01,-0.001748
2019-04-01,0.013657
2019-05-01,-0.021487
2019-06-01,-0.004535
2019-07-01,0.014147
2019-08-01,-0.039506
2019-09-01,0.018262
2019-10-01,0.016422
2019-11-01,0.017609
2019-12-01,-0.002098
2020-01-01,-0.000255
2020-02-01,0.007845
2020-03-01,-0.027000
2020-04-01,0.012277
2020-05-01,-0.004842
2020-06-01,0.014340
2020-07-01,0.002568
2020-08-01,0.004580
2020-09-01,0.000861
2020-10-01,-0.003770
2020-11-01,-0.002482
2020-12-01,-0.001243
2021-01-01,-0.000323
2021-02-01,0.010672
2021-03-01,0.022853
2021-04-01,0.002165
2021-05-01,0.010352
2021-06-01,0.002101
2021-07-01,-0.037381
2021-08-01,-0.000183
2021-09-01,0.004063
2021-10-01,0.014933
2021-11-01,0.013462
2021-12-01,-0.005099
2022-01-01,-0.007841
2022-02-01,0.003666
2022-03-01,0.010058
2022-04-01,0.062399
2022-05-01,0.002196
2022-06-01,0.012303
2022-07-01,-0.022245
2022-08-01,-0.006575
2022-09-01,0.026440
2022-10-01,0.002419
2022-11-01,-0.010565
2022-12-01,-0.016459
2023-01-01,-0.021338
2023-02-01,0.026603
2023-03-01,0.004156
2023-04-01,-0.014700
2023-05-01,0.022582
2023-06-01,0.023969
2023-07-01,0.010817
2023-08-01,-0.001814
2023-09-01,0.009937
2023-10-01,0.010351
2023-11-01,0.017006
2023-12-01,-0.038424
2024-01-01,0.011175
2024-02-01,0.022721
2024-03-01,-0.000053
2024-04-01,0.005840
2024-05-01,-0.001452
2024-06-01,-0.003813
2024-07-01,0.006854
2024-08-01,-0.054332
2024-09-01,0.006858
2024-10-01,0.020499
2024-11-01,0.000326
2024-12-01,0.000853
2025-01-01,0.019583
2025-02-01,-0.026688
2025-03-01,-0.002130
2025-04-01,-0.019281
2025-05-01,0.026517
2025-06-01,-0.022525
2025-07-01,0.012552
2025-08-01,0.000317
